"Date","Price","Open","High","Low","Vol.","Change %"
"09/27/2023","38.7755","39.0382","39.0586","38.6600","","-0.68%"
"09/26/2023","39.0392","39.1244","39.1915","38.8259","","-0.19%"
"09/25/2023","39.1131","39.3559","39.3614","38.9506","","-0.58%"
"09/22/2023","39.3421","39.3689","39.4205","39.0053","","-0.04%"
"09/21/2023","39.3589","39.3689","39.4244","39.0399","","-0.01%"
"09/20/2023","39.3626","39.4509","39.6571","39.1959","","-0.17%"
"09/19/2023","39.4302","39.4687","39.5858","39.2257","","-0.12%"
"09/18/2023","39.4771","39.3801","39.5149","39.1641","","0.33%"
"09/15/2023","39.3478","39.2915","39.4761","39.1023","","0.13%"
"09/14/2023","39.2961","39.6238","39.7048","39.2577","","-0.81%"
"09/13/2023","39.6174","39.7168","39.7593","39.3963","","-0.24%"
"09/12/2023","39.7108","39.7051","39.7715","39.3532","","0.05%"
"09/11/2023","39.6913","39.5589","39.7383","39.3761","","0.53%"
"09/08/2023","39.4804","39.5055","39.6660","39.3082","","0.02%"
"09/07/2023","39.4730","39.6081","39.6265","39.3108","","-0.28%"
"09/06/2023","39.5843","39.6009","39.7032","39.3750","","-0.09%"
"09/05/2023","39.6193","39.6769","39.8040","39.4119","","0.40%"
"09/04/2023","39.4612","39.6089","39.9211","39.5868","","0.17%"
"09/01/2023","39.3954","39.9638","40.1474","39.5850","","-1.24%"
"08/31/2023","39.8895","40.3568","40.4104","39.9150","","-1.13%"
"08/30/2023","40.3467","40.1825","40.4325","39.8944","","0.42%"
"08/29/2023","40.1768","39.9377","40.2305","39.6720","","0.58%"
"08/28/2023","39.9461","39.8692","39.9710","39.6885","","0.26%"
"08/25/2023","39.8423","39.7284","40.0224","39.5728","","0.80%"
"08/24/2023","39.5270","40.1187","40.1722","39.7081","","-1.43%"
"08/23/2023","40.1012","39.8680","40.1538","39.7006","","1.13%"
"08/22/2023","39.6550","40.2295","40.3658","39.8111","","-1.40%"
"08/21/2023","40.2194","40.1719","40.3054","39.9486","","0.25%"
"08/18/2023","40.1210","40.1519","40.2351","39.8887","","-0.06%"
"08/17/2023","40.1455","40.1697","40.3255","39.9035","","-0.09%"
"08/16/2023","40.1807","40.2812","40.3834","40.0294","","-0.22%"
"08/15/2023","40.2674","40.2803","40.4529","40.0845","","-0.01%"
"08/14/2023","40.2728","40.4357","40.4788","40.0860","","-0.28%"
"08/11/2023","40.3845","40.3497","40.6450","40.2755","","0.61%"
"08/10/2023","40.1392","40.5115","40.7591","40.3150","","-0.84%"
"08/09/2023","40.4805","40.2579","40.5970","40.2413","","1.08%"
"08/08/2023","40.0478","40.6240","40.6689","40.1568","","-1.40%"
"08/07/2023","40.6169","40.6867","40.6904","40.3251","","-0.08%"
"08/04/2023","40.6500","40.4044","40.7772","40.1932","","0.68%"
"08/03/2023","40.3735","40.3731","40.4815","40.1049","","0.07%"
"08/02/2023","40.3440","40.3642","40.6581","40.2245","","0.46%"
"08/01/2023","40.1596","40.6062","40.6395","40.2483","","-1.10%"
"07/31/2023","40.6071","40.6886","40.7982","40.4179","","-0.07%"
"07/28/2023","40.6354","40.5434","40.7809","40.2281","","0.28%"
"07/27/2023","40.5222","40.9238","41.1805","40.4972","","-0.99%"
"07/26/2023","40.9284","40.7712","41.0216","40.5773","","0.51%"
"07/25/2023","40.7204","40.8647","40.9419","40.5880","","-0.32%"
"07/24/2023","40.8509","41.0781","41.1395","40.6726","","-0.45%"
"07/21/2023","41.0376","41.0947","41.1622","40.8380","","-0.04%"
"07/20/2023","41.0523","41.1617","41.4557","41.0027","","0.25%"
"07/19/2023","40.9495","41.4660","41.5085","41.0661","","-1.24%"
"07/18/2023","41.4623","41.2940","41.6396","41.2229","","0.90%"
"07/17/2023","41.0921","41.2830","41.5398","41.1726","","0.11%"
"07/14/2023","41.0459","41.4622","41.5251","41.1851","","-0.96%"
"07/13/2023","41.4457","41.1115","41.4697","40.9050","","0.84%"
"07/12/2023","41.1003","40.6560","41.1484","40.4741","","1.12%"
"07/11/2023","40.6441","40.6295","40.7166","40.3884","","0.05%"
"07/10/2023","40.6239","40.5192","40.6369","40.2142","","0.31%"
"07/07/2023","40.4978","40.2098","40.5321","39.9290","","0.74%"
"07/06/2023","40.2002","39.9048","40.2590","39.8147","","1.31%"
"07/05/2023","39.6806","40.1788","40.2868","39.8772","","-1.23%"
"07/04/2023","40.1731","40.3026","40.3229","39.9965","","-0.30%"
"07/03/2023","40.2950","40.0977","40.3857","39.9972","","1.00%"
"06/30/2023","39.8963","40.1231","40.3354","39.8540","","-0.56%"
"06/29/2023","40.1208","40.0998","40.4112","39.9440","","0.58%"
"06/28/2023","39.8906","40.4806","40.4898","40.0392","","-1.43%"
"06/27/2023","40.4705","40.2875","40.5415","40.0910","","0.53%"
"06/26/2023","40.2576","40.2402","40.3281","40.0113","","0.12%"
"06/23/2023","40.2076","40.4611","40.4703","39.8651","","-0.60%"
"06/22/2023","40.4496","40.5728","40.6718","40.2893","","-0.27%"
"06/21/2023","40.5584","40.3226","40.5913","40.0783","","0.62%"
"06/20/2023","40.3091","40.3432","40.4264","40.0652","","-0.07%"
"06/19/2023","40.3356","40.3666","40.4163","40.1130","","0.09%"
"06/16/2023","40.2974","40.4149","40.5083","40.1638","","-0.26%"
"06/15/2023","40.4016","39.9948","40.4482","39.7124","","1.02%"
"06/14/2023","39.9935","39.8360","40.1222","39.6077","","0.46%"
"06/13/2023","39.8091","39.5193","39.9765","39.5174","","1.22%"
"06/12/2023","39.3276","39.7031","39.8528","39.4572","","-0.90%"
"06/09/2023","39.6833","39.8095","39.8326","39.5150","","-0.27%"
"06/08/2023","39.7927","39.4761","39.8298","39.3237","","0.94%"
"06/07/2023","39.4238","39.4890","39.6328","39.2047","","-0.16%"
"06/06/2023","39.4882","39.5584","39.6404","39.2667","","-0.13%"
"06/05/2023","39.5380","39.5611","39.5934","39.2385","","0.00%"
"06/02/2023","39.5362","39.7523","39.8133","39.4437","","-0.52%"
"06/01/2023","39.7412","39.4643","39.7744","39.1808","","0.78%"
"05/31/2023","39.4334","39.6497","39.6534","39.1525","","-0.51%"
"05/30/2023","39.6359","39.3516","39.6922","39.2358","","1.25%"
"05/29/2023","39.1467","39.6081","39.6773","39.3424","","-1.13%"
"05/26/2023","39.5930","39.6008","39.7394","39.3717","","0.01%"
"05/25/2023","39.5897","39.7032","39.7309","39.3662","","-0.26%"
"05/24/2023","39.6945","39.5817","39.8887","39.5306","","0.81%"
"05/23/2023","39.3751","39.9310","39.9661","39.5358","","-1.38%"
"05/22/2023","39.9250","39.9377","40.0049","39.6732","","0.09%"
"05/19/2023","39.8907","39.7807","39.9949","39.5637","","0.30%"
"05/18/2023","39.7721","40.0345","40.0658","39.6314","","-0.64%"
"05/17/2023","40.0284","40.1157","40.1618","39.7686","","-0.20%"
"05/16/2023","40.1097","40.1437","40.2785","39.9019","","-0.02%"
"05/15/2023","40.1177","40.0936","40.2083","39.8753","","0.14%"
"05/12/2023","40.0617","40.2609","40.3931","39.9931","","-0.37%"
"05/11/2023","40.2120","40.3497","40.5788","40.0919","","0.17%"
"05/10/2023","40.1429","40.4790","40.5972","40.2027","","-0.81%"
"05/09/2023","40.4709","40.6475","40.6494","40.2718","","-0.41%"
"05/08/2023","40.6378","40.7388","40.8289","40.4943","","-0.09%"
"05/05/2023","40.6729","40.6530","40.7905","40.4112","","0.12%"
"05/04/2023","40.6251","40.8492","40.9674","40.5149","","-0.54%"
